Token/Asset,Contract Address,Row Type,Date,Block Number,Transaction Hash,Direction,From,To,Amount,Running Balance,On-Chain Balance,Function Called,Expected Balance,Actual Balance,Difference,Resolution
Berry,0x1ee35ad662c74d23ca59013d461060dc29b8321a,SUMMARY,,,,,,,,,,,5000,0,-5000,
Berry,0x1ee35ad662c74d23ca59013d461060dc29b8321a,TX,2022-04-03 01:16:07 UTC,14510165,0xf311c5bd2ff9c3cfb9ec8b18514bc7d261f433b7294e668433bab9788d019b87,IN,0xa7aefaf188f90f8c7f0e3be4b91c685ccd58274c,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,5000,5000,(N-1) 5000  (N) 5000,,,,,
Berry,0x1ee35ad662c74d23ca59013d461060dc29b8321a,GAP,,,,UNTRACKED,,,-5000,0,0,Balance change not captured by Transfer events,,,,"RESOLVED: Token balance zeroed outside of Transfer events. Likely a scam/airdrop token, admin burn, or token migration."
,,,,,,,,,,,,,,,,
DETF,0x5516ac1aaca7bb2fd5b7bdde1549ef1ea242953d,SUMMARY,,,,,,,,,,,1152.524540569888818913,1207.918252191156202541,55.393711621267383628,
DETF,0x5516ac1aaca7bb2fd5b7bdde1549ef1ea242953d,TX,2024-03-22 06:12:59 UTC,19488305,0x2e2ac2584e3e0115d37d0f44075d8e2fb29ce2fbb91d341d4f5228f3b104f102,IN,0xef5edb29b4eb20501de89718daa7d1ad108efb66,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,1152.524540569888818913,1152.524540569888818913,(N-1) 0  (N) 1152.524759470456764789,"execute(bytes commands,bytes[] inputs,uint256 deadline)",,,,
DETF,0x5516ac1aaca7bb2fd5b7bdde1549ef1ea242953d,GAP,,,,UNTRACKED,,,55.393711621267383628,1207.918252191156202541,1207.918252191156202541,Balance change not captured by Transfer events,,,,"RESOLVED: +55.393711621267383628 DETF from non-transfer balance increase (rebasing rewards, staking yield, or direct contract mint)."
,,,,,,,,,,,,,,,,
DEgg,0xb339022c13018556b7c731dbb852493d452bf96f,SUMMARY,,,,,,,,,,,2000,0,-2000,
DEgg,0xb339022c13018556b7c731dbb852493d452bf96f,TX,2022-03-22 06:41:14 UTC,14434562,0x784d6363e887ce3c63be1222082d1f67d9b25136a748c9b91e5fda994376d8e2,IN,0x2a927e4f42d5758d27834f97949bbb292e44fb61,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,2000,2000,(N-1) 2000  (N) 2000,,,,,
DEgg,0xb339022c13018556b7c731dbb852493d452bf96f,GAP,,,,UNTRACKED,,,-2000,0,0,Balance change not captured by Transfer events,,,,"RESOLVED: Token balance zeroed outside of Transfer events. Likely a scam/airdrop token, admin burn, or token migration."
,,,,,,,,,,,,,,,,
KiCT,0xc78bc2d12355e71b0a3d3ebb2815ce9ac8b1c572,SUMMARY,,,,,,,,,,,1250,0,-1250,
KiCT,0xc78bc2d12355e71b0a3d3ebb2815ce9ac8b1c572,TX,2022-03-25 03:26:25 UTC,14453003,0xaa50d0121a4a99c71aa81b0a26c69a43247989abf0028d0ebdb0bd98092cef5b,IN,0x8b4611d22330372b17ec61b359ed36479dab6a3f,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,1250,1250,(N-1) 1250  (N) 1250,,,,,
KiCT,0xc78bc2d12355e71b0a3d3ebb2815ce9ac8b1c572,GAP,,,,UNTRACKED,,,-1250,0,0,Balance change not captured by Transfer events,,,,"RESOLVED: Token balance zeroed outside of Transfer events. Likely a scam/airdrop token, admin burn, or token migration."
,,,,,,,,,,,,,,,,
TOSH,0x960bea9c686953e218b075c7093d39ebc43b4e25,SUMMARY,,,,,,,,,,,1800.39899977993227455,0,-1800.39899977993227455,
TOSH,0x960bea9c686953e218b075c7093d39ebc43b4e25,TX,2022-03-30 02:44:19 UTC,14484979,0x1a858e4a5f7061d30a8ab7524e996f40016c87fd017c65e76b0b1247ccd397ae,IN,0x54475cd5ef175b6cb82f75c4ec9948029bb999d3,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,1800.39899977993227455,1800.39899977993227455,(N-1) 1800.39899977993227455  (N) 1800.39899977993227455,,,,,
TOSH,0x960bea9c686953e218b075c7093d39ebc43b4e25,GAP,,,,UNTRACKED,,,-1800.39899977993227455,0,0,Balance change not captured by Transfer events,,,,"RESOLVED: Token balance zeroed outside of Transfer events. Likely a scam/airdrop token, admin burn, or token migration."
,,,,,,,,,,,,,,,,
WAGMIGAMES,0x3b604747ad1720c01ded0455728b62c0d2f100f0,SUMMARY,,,,,,,,,,,32395.145933278384375958,2921.292556181527529881,-29473.853377096856846077,
WAGMIGAMES,0x3b604747ad1720c01ded0455728b62c0d2f100f0,TX,2023-12-22 18:51:47 UTC,18843282,0xfe29f7bceb9340d691e439b0c87b0810655dcc6c794b5fcf3a37dae1576f79e1,IN,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,9583915.066045878927303955,9583915.066045878927303955,(N-1) 0  (N) 9583915.066045878927303955,"swap(string aggregatorId, address tokenFrom, uint256 amount, bytes data)",,,,
WAGMIGAMES,0x3b604747ad1720c01ded0455728b62c0d2f100f0,TX,2024-01-13 21:14:35 UTC,19000584,0x3d63db06ffc93aef3ab230bcaf3df56b815c3fd780ac7f204bed943004eaf342,IN,0xdf4f3749bb4e96bf91a67c7e873d9c04198d924a,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,6792819.272083092257072003,16376734.338128971184375958,(N-1) 9584274.05378624898878141  (N) 16377093.378953608170003655,"execute(bytes commands,bytes[] inputs,uint256 deadline)",,,,
WAGMIGAMES,0x3b604747ad1720c01ded0455728b62c0d2f100f0,TX,2025-01-16 05:49:47 UTC,21635064,0xa35f1cdb75de4f1778ecd4e5877416f7c5ab0f678d024e2b45f8aec8972707a1,OUT,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0xdf4f3749bb4e96bf91a67c7e873d9c04198d924a,-16344339.1921956928,32395.145933278384375958,(N-1) 16380014.671509781527529881  (N) 2921.292556181527529881,,,,,
WAGMIGAMES,0x3b604747ad1720c01ded0455728b62c0d2f100f0,GAP,,,,UNTRACKED,,,-29473.853377096856846077,2921.292556181527529881,2921.292556181527529881,Balance change not captured by Transfer events,,,,RESOLVED: fee-on-transfer (tax token). Last sell tax: On-Chain(N-1) 16380014.671509781527529881 - Transfer 16344339.1921956928 - On-Chain(N) 2921.292556181527529881 = 32754.186757907200000000 WAGMIGAMES taken by contract.
,,,,,,,,,,,,,,,,
sOHM,0x04f2694c8fcee23e8fd0dfea1d4f5bb8c352111f,SUMMARY,,,,,,,,,,,-1.989658089,0,1.989658089,
sOHM,0x04f2694c8fcee23e8fd0dfea1d4f5bb8c352111f,TX,2021-10-16 10:42:53 UTC,13428549,0x7db07f05d2298193dbc03ceafccc01f0c3124cce64a5baff8c1ea79f9e354885,IN,0x2882a5cd82ac49e06620382660f5ed932607c5f1,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,2.029432973,2.029432973,(N-1) 0  (N) 2.029432973,stake(uint256 countryID),,,,
sOHM,0x04f2694c8fcee23e8fd0dfea1d4f5bb8c352111f,TX,2023-12-17 01:57:35 UTC,18802628,0x334e354bcab7d2e25bff1bdaa1391a464c7228cea4d7c98a1ba74e0e985b490f,OUT,0xf23649b5df0e12ba04c6fa1874b03265f79c636b,0x74de5d4fcbf63e00296fd95d33236b9794016631,-4.019091062,-1.989658089,(N-1) 4.019091062  (N) 0,"swap(string aggregatorId, address tokenFrom, uint256 amount, bytes data)",,,,
sOHM,0x04f2694c8fcee23e8fd0dfea1d4f5bb8c352111f,GAP,,,,UNTRACKED,,,1.989658089,0,0,Balance change not captured by Transfer events,,,,RESOLVED: 1.989658089 sOHM from non-transfer balance increase (rebasing/staking rewards). Wallet received 1.989658089 more via rebase than tracked by Transfer events.
,,,,,,,,,,,,,,,,
